text,diggCount
benci ??,3
"jd rame gini jd males kuliah, libur aja libur????",7
"tadi mau keluar dari fmipa rute nya udah beda lagi ???? diputerin lewat fikk sm fbsb, berasa mau demo",2
"anak 25mau jadi kating, tapi belum siap ditanya-tanyain anak 26??",1
[Sticker] fv bimlek:,1
Muternya tuh muter bgt??,1
rombongan njirr kyk mo tawaf??,1
[Sticker] ft bilek,0
habis ini diterapkan parkir bagi non mahasiswa??,0
[Sticker] kampus aneh,0
baru jalan 3 hari udah ada yang kecelakaan gegara ini,0
Jan hess.. mumet,0
Ada yang mau iseng hitung jejak karbon dari kebijakan baru di kampus tersebut???,0
meh ng fisip kudu mblusuk² fmipa ro feb sek??,0
bisa diaspal gak itu ya,0
gak masuk akal sumpah yg bikin aturan kaya DPR aja anjir ngawur tenann asli,0
"mana sekarang lagi banyak kunjungan anak SMA, takut nabrak mereka pas lagi keliling????",0
wkwk udah kek antrian takjil ??,0
"aku alumni 2021 , ini kalau mau jajan ke kantin FMIPA atau ke plaza lewat mana dan parkir dimana ? berarti dah gak boleh solat di mas Muja?",0
@gita @panii touring ta,0
@blublubub???? ft chilll??,0
@awfee ??? kya nya kita yg berangkat mepet ini akan ketinggalan matkul setengah jam terus fah klo kuliahnya sekarang????,0
ada gebrakan baru apa ini alumni @youngster? @@minifairyyyy @@pinkjellyfish,1
@tata,0
antrean pulang dari mall,1
hanya FT yg tdk terpengaruh?? @Uncrush Universe,1
@?,0
@icaevita one day,0
@pecinta sate ayam lucu bgtt,0
@??????????,0
@funi smgt,0
Bukan Uny kalo ga ribet??,0
ft be like:????,0
kampuss po labirin ta??,0
pehhh malih rouwet,1
[Sticker] ruwet yo mas,0
harus bangun pagi ini kak spy gk kena macet ??,0
HARUSS TAWAFF DULUUUU!!!,0
"ugm udah buka berbagai alternatif jalur biar ga macet, ini uny malah dibikin 1 jalur??
untung saya udh luluss",0
gang sempit,2
aneh banget bgsttttt,0
berarti muter dong kalau dari arah jl Afandi?? kirain bakal ada satpam buat bantu nyebrangin seperti kampus depan fip? ternyata diminta tour campus atau habisin bensin mahasiswa??,0
dadi wong kok ruwet to,0
warga Karangmalang lebih baik jalan kaki naik motor muter nya jauh kali ??,0
nik omah e ng wetan pie? wagu tenan,0
nyusahin,0
sek tenan wae,0
@d @acayy?? @chappyy @lanyousea pie tanggapane,2
yey tawaf,3
@mieayamgoreng @Relasilite @Tera @??????????. @Calvin Firmansyah @uzumasarrr @guaejaa @Ikhsnz  pie Ki ??,1
@saya imoet cb bersuara,0
@Adelia Yuniar?? @juiii @novitaa?? yo opo iki sih,0
@yain @iya emang lila @ndaaaa @•?• @alyn*.? jirlah,0
@d @reny repottttt,0
@pinkiesluv alamak,0
tambah mumet ??,1
@Obake syp tau mau tau,0
??????????,1
@d aneh,1
meh dadi bunderan ugm po iki? @nala,0
@owllsy geleng geleng rek??,0
????????,0
@capi tadi pagi aku di sebrangin pak polisi ????,0
"[Sticker] buka gerbang timur fip, buat uda telat makin telat ini",1
"He, rungokke yo tulung iki simaken. Sek mlaku wes angel nyabrange mergo motor teko koyok grudukan sak arah karo cah-cah, sek motoran akehe sakmono wi diakon lewat dalan cilike ra eram, piye do ora tibo horo????? Ra cetho blas i",0
ngentongke bensin ae,0
"raceto, marai macet. satpam e do bosok",0
Ngabisin bensin hahah,0
FREAKK!! Anti kritik!!,0
"g boleh masuk dari timur & g blh keluar arah barat. trs muternya hrs dimanaaa, macett ribett masyaallahh",0
kampus aneh,0
"orang masuknya ribet banget gini ga boleh marah2 gimana? bilang aja satpamnya males kan nyebrangin, entar ada kecelakaan lagi kek kemarin. ribet banget sih uny sekarang",0
@UNY Yogyakarta buatin dari gate 3 ke parkir feb dong minn,0
kuliah di gor aja harus lewat fbsb??,0
WKWKWKWKWKWK uny mumettt ??????,0
bener2 muterin kampus,0
[Sticker] FT: santai dulu gak sii,0
"Katanya mingdep rute nya kembali normal kek awal, semoga aja??",0
ruwet,0
pertama kali dalam sejarah rektorat macet ????,0
wkwkwkwk,0
hauuuuu,0
Mana kudu towaf??,0
ada ada saja kampus backburner ini,0
"yang ayem tentrem tu cuma ft ya, berasa kampus sendiri dibelakang",0
malah kaya kopdar kak,0
hbis konvoi ya kak??,0
????????,1
aminn,0
pusinggg,0
[Sticker] pov FT,0
"besok aku buka 1 day trip uny, minat ra nis???",0
??,0
ganti jalur????????,0
memang unik harus muter dulu,0
????,1
emang biasanya gimana izz,1
langsung belok di deket fmipa,1
mksh...,0
hahahaha??,0
Nangis bgt??,0
alhamdulillah udah lulus qor jadi gak telat terus,0
Alhamdulillah bgt wan??,0
Kampus tour??,0
boros bensin jdinya plss ??????,0
rame bgt gerombolan??,0
Fv bilek : plong bgt ni jalan ke fv gk @celi ? ?? ?? .?  @Giva,0
@salsamazhr,0
@zyra.ss touring sek,1
@lkrpgsti,0
jalan fmipa serasa jalan raya @? N @lele dangdutan,1
lucu bgtt kek konvoi?? @apayaaa_,0
??????,1
wkwk rkuat kepsyen e @??,0
??????,0
@Sahrul,0
@l0owie ?? @digoyang diemut,0
bisane jd ky gini sih sekarang? ??????@felll,0
kok dadi tawaf ngeneki pie bos? @unyofficial,0
@????Anton’s tacos apakah benar,0
vibesnya kayak lagi mau ikut demo?? @gulali ?? yaah..wkwk,0
??????,0
"ga abis pikir ditutup semua jalanyaa, cape muterin kampus",0
yey palalo,3
[Sticker] ,3
ngentekke bensin,3
ruwet,2
BENCI BGT,3
"Kabeh"" ditutup ki sah mangkat sisan",2
wkwkwkkwkw,0
@Devrtz,0
opoi mibur wae ??,0
raceto,0
Tutupen kabeh mawon pak tak gawe dalan dewe ??,0
ya begitulah kira kira ??,0
ruwet,0
Gawe FLY OVER waee??,1
sbr y kk??,0
GMW,0
proud to be anak fbsb,0
bayangin serame apa beso senin??,0
I miss UNY,0
Bikin dari gerbang FBSB dong min ??,0
ribet,0
bisa lebih pelan bang.. mumet ngikutinya.. ??,0
spill parkir bus & truk Damkarnya UNY di sebelah mana kak?,0
"poll repotttt, ribettt kakean enggokkan",0
AAMIIN YA ALLAH KETERIMA,0
RIBETT,0
jalan kaki ajaaaa paling bener,0
setiap hari selalu bersuara ketika lewat rektorat,0
[Sticker] ,0
fbsb tersenyum ??,0
"beneran ribet bgt, kmna"" jdi susah.",0
[Sticker] anak ft :,0
kurang cepet videone min ??,0
ngel ngeli,3
[Sticker] fbsb dan ft bilek,21
"Jalur dipersulit, fasilitas dibuat seadanya, cctv rusak, tapi soal bangun gedung baru paling semangat??",6
pogung kalo jadi kampus be like,5
wagu,3
benci ??,2
uny gjls sumpah,1
"ditengah gempuran BBM langka, UNY tetap memilih kebijakan ini ??",1
sebenernya gapapa kalo yg depan rektorat itu wajib ambil kiri tp gerbang gerbang yg lain jgn ditutup dong bkin makin jauh????,1
"RIBETT, yang dari fbsb harus muter",1
ga jelas,0
FT lewat pintu sendiri aja,0
waduh malah muter2 yaa. ga bisa masuk dr segala penjuru kayak dlu lagi dong. sbg alumni jadi pusyingggg kesasar dkampus sendiri ????,0
BENCIIIIIIII JADI MALES KE KAMPUS,0
minimal nek okeh kemalingan ki ora nggawe jalur anyar tapi perbanyak satpam dan keamanan cctv,0
"ini mah ga hemat energi, UNY pemborosan energi.. ga pada demo apa ??",0
RIBET BIKIN MACETT PUSING MANA FIKK SEKARANG IKUT IKUTAN GERBANG TIMUR DITUTUPP DISURUH LEWAT FBSB,0
[Sticker] [Stiker] fv wates nyimak,0
"kalo kepentingan kampus gapapa.
yang pengunjung dan tenant plaza uny notabene masyarakat umum jadi ribet yang harusnya nempel jalan raya gajayan harus muter ??????????",0
nyusahin,0
"ribeeetttttttt, bikin macet lampu merah tau ga, mana satpamnya ga nyebrangin aneh????????????????????????????????????????????????",0
ngabisin bensin,0
meanwhile fbsb bisa langsung masuk dari blkng ??,0
oposihhhhhh uny kiii,0
bet ribet,0
[Sticker] ,0
????,0
????????,0
@en MUNYUKKKKKKK??,0
trs klo yg dari amplaz hrus muter dulu? ribet yah,0
"saran aku, gausah pake satpam aja pak rektor, dari pd bikin kebijakan kek gini, mayan tuh efisiensi anggaran xixi",0
atur seplenger mungkin,0
rewel,0
nek ngampet ngising pie i??,0
bener lagii??,0
tidak friendly pejalan kaki cak,1
"saran, bikinin tol",1
[Sticker] warga fip yang dari selatan,0
"mau ke kolam renang aja gabisa langsung skarang, diarahkan kesitu. Muter2 tersesat??",0
"Sumpah lucu bgt, anak wates can’t relate WKWK",0
"bjir rektorat muter ke Utara bisa touring, sekalian pol mentok tembus tikungan Karangmalang.",0
kaya bubaran pabrik,0
fbsb jd rame bgt anjirr digerudug konvoi fikk????,0
@alpukatkocok untung menghilang dulu ??,0
wkwkwkwkk untung FT ng mburi iso lewat ugm??,1
[Sticker] macet moasssssssss,1
,0
mabur oleh ga min?,0
"fbsb ndue dalan dewe, santaii ????",0
fv gk bilek: ni yg ke kampus gue doang apa begimana si? ko sepi amat,0
WKAKAKAKAKA,0
fbsb katut mubeng mubengg rakaruan,0
biar kita bisa melihat wajah pak s setiap hari di depan rektor kak.,0
[Sticker] ,0
aku lewat fmipa??????,0
males bet bjir harus muter muter ??,0
fbsb yg belakang juga ditutup sekarang,1
@gea @emiamilyy @erin????? ? ?? untung fbsb,0
@p,0
cctv nya kurang banyak @Nayii @? ? ? ? ? ? ? ? @sasaaaa,0
@Sava @vyxxxaa_ @kim's,0
@ray @abil here’s untung rasido ng uny,0
@hasnaaa jalan jalan na,0
@_____moonandsun,0
@cicaa.jpg,0
@COKLAT??,0
@naiii,0
??,0
@Figoo,0
@8912 pusing keluar pusing masuk,0
?,1
"NOSTALGIA ALMAMATER
Saya alumni :
S1 FPIPS IKIP YOGYAKARTA 1990, meskipun sudah lulus 36 tahun yang lalu, saya masih ingat betul setiap sudut kampus Karangmalang ini meskipun sudah berubah menjadi UNY.
Saat saya lulus Sarjana di 1990 yang menandatangani Ijasah Sarjana & Akta IV saya adalah sbb:
REKTOR, beliau Bapak :
Prof. Arma Abdoellah, M.Sc
Dekan FPIPS, beliau Bapak :
Prof. Dr. Saidihardjo, M.Pd
Dekan FIP, beliau Bapak :
Dr. Achmad Badawi
SALAM KANGEN UNTUK ALMAMATERKU Kampus Karangmalang.",0
@Pal,0
????,1
johhhh konvoi silat tah yoopo jane iki?? @??,1
@?? @nkrrzhaa @miaww. @?? @COER @rizkaa @???niss,2
oh ini @?•?•?,0
@naylongg°~,0
@zahhraa suk muter2 uny,0
ribet.,0
dari karangmalang ke fip harus muter dulu ??,0
"bintang 1, ribet parah",0
untung GK ku di pojok,0
ijolan kene,0
gerbang ungu menyala,0
iya kasian…,0
ayoo besokk yaa,0
busett,0
ruwet jir,0
ribet dah,0
Akhirnya aku lebi milih parkir di deket rektorat trs jalan kaki?? jujur pusinkkk,0
ribet woiiii,0
ni pusing ningalina ge,0
ribet banget edan,0
GASUKAAA??????,0
anjirr pusing banget liatnya??,0
yang jalan kaki muter ga plissss,0
[Sticker] ft aman nyaman,0
ribet,0
ribet anjir ribettt,0
kos di karmal mau ke feb aja kudu muter2 dulu sekarang ????,0
kalo jalan ga perlu muter muter gitu kan??,0
bismillah pas survei engga kesasar ??,0
paan si kocak,0
in another life,0
ga efisien bgt min,0
bikin 10.000 cctv gwe ikhlas,0
??,0
GAK MAUU??????,0
iyaahh,0
ruwet koyo pogung,0
dalan sempit cilik mekso oneway??,2
BENCI ??,2
nyusahin,1
rep parkir po konvoi i nek bareng',0
"ribet ruwet, nk ono motor ilang sh diganti ki sdm e cb kro sistem penjagaan e",1
Ngabisin bensin??,0
[Sticker] Fmipa kalo pulang bilek,0
untuk kolam renang plis lahhh jgn dibikin rute ribet ky gini jg. yg mau pake fasilitas kan ga mahasiswa aja.,0
g guna,0
kampus aneh.,0
nyusahin,0
"koe tak takoni ngopo aku mok tolak peng 3 taun wingi,opo alesan e??",0
Tulung fisip pinggir dalan lo ??,0
thawaf uny bjir,0
apakah karena ada insiden kemalingan kemarin makannya semua akses belakang ditutup ?,0
Nyusahin,0
kyo ngubengi mekah??,0
"aowkaowk haiyo, untung FT le rekayasa mung mergo ono pembangunan parkiran",0
"@?? untung dh wisuda, bayangin dari Mrican harus ke Gejayan buat ke plaza, macet bgttttttt",0
@Elssss belakang D03 sesepi itu skrg jd jalur utama. portal e dibuka gess sampai FE ??,0
@lindyyregita @racelldump4 @?? @neLL @jeann @lalaa?? @?? hapalkan,0
@ehmanusya nek ngene parkire mbiyen koe telat mben dino,0
@matchadepanmu ben ra kesasar,0
@—Zoroark` @eisy7? @6,0
la po koe i meh mubeng-mubeng ng kampus neh bar?,0
ora??,0
padahal dulu kyk singup bgt izin????,0
mungkin ini salah satu cara biar ga singup dan tentu bisa lebih mudah membablaskan diri sampai fakultas sebelah ????,0
Bisa bersilaturrahmi lebih mudah??,0
bkim pusing bjir,0
"hayoyo, udah kaya perumahan",0
"pusing ah, mending turu",0
bener lagii,0
"muter muter boz, mending mlaku",0
,1
??????,0
FT be like,0
aku nek wingi bali dewe nyasar @arifa,0
kei bangjo ae ben antri urut,0
Kok jadi rame gini lewat depan yaa ??,0
ga suka.,0
pindah UAD aja deh,0
wkwkwkwkw,0
@nadiaaja biasnaya 5 menit sampe ini jadi 10 menit ++ ?????,0
touring kah ini,0
ruwet jir,0
"makannya ada efisiensi bahan bakar, abis di labirin uny",1
minimal sepedah ??,0
udah ruwet makin ruwet,0
study tour,0
macet banget buzet,0
hahaha puntenn,0
nggeh mas siap ?? dalan e di pek Dewe ??,0
