text,diggCount
NYAUT AJA LUUUU masa dri ws mau ke kantin aja perlu nyebrang ????,0
ak liat di vt lain iyaa harus nyebrang dluu Krn rame bgt untung ak dah luluss??,0
iyaa kak huhuhu ak sbg anak fbsb merasakan ??,0
masuk lewat Gerbang FBSB,0
masuk lewat parkiran plaza?,0
masuk lewat rektorat kaak,0
wkwkkw vokasi gunkid hadirr,0
malah jadi macet njir,3
mau kelas harus tour kampus dulu bjir????,2
[Sticker] ft ngliat anak depan,3
barangkali jodohmu terselip disepanjang jalan itu????,2
ini sampe kapan pls,1
"kurang tau kaa, tpi katanya simulasinya tuh seminggu",0
ribet bgt anjir,2
untung ak ft????,2
[Sticker] sialan tiap pagi kudu begini??,3
anjrittt males bgt??,184
kayak ga pernah jadi mana aja kak,80
"justru karena pernah ngrasain maba, bingung nyari gedung. coba bayangin ada maba pake google maps terus diarahin lewat utara yang ditutup wqwq, dah paling bener jadi anak FT aja",175
"sekolah vokasi bilek??
ez inimah",2
tambah macet??,11
fv ga macet kok,1
beda gedung kak??,1
seru za fbsb,3
[Sticker] ft ma fbsb aman siii,5
[Sticker] ,0
[Sticker] ,0
@ayyakk MACETT,1
OHHH TIDAKK,1
"emosi mendidih?? jujur tdi aku sempet doa ya Allah siapapun pencetus ide ini wallahi dia zolim dah mempersulit org mau nuntut ilmu????????????
soalnya aku kelupaan jdi harus muter balik",1
terus parkir di kopma. terus dimarahin sama satpamnya ????????,0
ya allah semoga aku wes lulus??,0
??aamiin,0
@naa?? gkuat pasti nnti macet,0
???????,0
"wkwkwk, di suruh roomtour dulu sebelum ke fakultas????",0
di belakang kan,0
"gak ngotak, untung udah lulus?????? tapi sebelum sistem tutup gerbang ini pun aku udah bingung masuk unyeh beda ama dulu, takut banget masuk lewat rektorat keluar ga tau kemana????",0
raiso mbalap”??,1
ga cocok mbek aku sek mangkat mepet??,0
"rill podo kak, kudune iso pass malah saiki luwih 10 menit??",0
lumayan wi keno nggo mlaku parkiran kelas????,0
"telat bareng"" kak??",0
WKWKKWKWKWKW LIK,0
gua yang lihat rektor sekali sebulan bilek??,19
